lake,lake_lat,lake_long,tsi,trophic_status,climate_zone,lake_elev,lake_area,lake_volume,mean_lake_depth,year,season,num_samples,start_day,end_day,days_in_window,chla_rate,max_chla,acc_chla,poc_rate,chla_to_poc,mean_temp,mean_tp,mean_secchi,mean_ph,mean_srp,mean_tkn,mean_par,specific_chla_rate,f_temp,temp_corrected_specific_chla_rate,prev_week_mean_temp,prev_2weeks_mean_temp,prev_week_mean_par,prev_2weeks_mean_par,prev_7days_mean_tp,prev_14days_mean_tp,prev_7days_mean_tkn,prev_14days_mean_tkn,ssr_station,ssr_id,ssr_id_type,ssr_lat,ssr_long,geo_dist_km,ssr_elev,ssr_lake_elev_diff,mean_ssr,prev_7days_mean_ssr,prev_14days_mean_ssr
Kyrksjön,56.53464,15.60111,53.94334758,eutrophic,7,111,1.21,3.11,2.6,2001,single,6,107,165,27,0.196296296,9.5,191.025,,,,,,,,,,0.046737213,,,,,,,,,,,Vaexjoe / Kronoberg,2106,GEBA,56.93333333,14.73333333,69.22318476,176,65,195.6271186,115,115
Experimental lake 114,49.4,-93.45,50.53208283,eutrophic,8,375,0.44,2.26,5.2,1974,single,7,136,220,56,0.105357143,8,276.9666667,,,,11.66666667,2.2,,,,175.0869442,0.050170068,,,,,,,10,10,,,ELA,MET,ELA,49.664,-93.7327,35.78997048,418,43,162.7404467,113.1922346,131.8635326
Experimental lake 114,49.4,-93.45,50.53208283,eutrophic,8,375,0.44,2.26,5.2,1978,single,14,124,261,123,0.220325203,28.2,1052.216667,,,,13.6,2.15,,,,144.407772,0.200295639,,,,,,,10,10,,,ELA,MET,ELA,49.664,-93.7327,35.78997048,418,43,139.367402,166.8216778,158.6865757
Experimental lake 114,49.4,-93.45,50.53208283,eutrophic,8,375,0.44,2.26,5.2,1979,single,34,218,235,16,0.34375,11.3,124.71,,,,17.75,,,,,123.3217689,0.059267241,,,,,,,19,18.71428571,,,ELA,MET,ELA,49.664,-93.7327,35.78997048,418,43,141.9589641,148.2907294,152.8147275
Experimental lake 114,49.4,-93.45,50.53208283,eutrophic,8,375,0.44,2.26,5.2,1980,single,17,126,217,77,0.052597403,6.15,329.94,,,,12.33333333,2.6,,,,123.469593,0.025046382,,,,,,,9,9,,,ELA,MET,ELA,49.664,-93.7327,35.78997048,418,43,160.435772,216.3570616,197.5483526
Experimental lake 114,49.4,-93.45,50.53208283,eutrophic,8,375,0.44,2.26,5.2,1981,spring,29,138,173,35,0.13,13.2,210.693,,,,14.33333333,2.466666667,,,,134.7764244,0.044067797,,,,,200.9986333,179.2664053,12,12,,,ELA,MET,ELA,49.664,-93.7327,35.78997048,418,43,145.7315916,188.735215,186.7456908
Experimental lake 114,49.4,-93.45,50.53208283,eutrophic,8,375,0.44,2.26,5.2,1981,summer,29,195,229,34,0.061764706,7,205.1,,,,15.66666667,1.4,,,,148.1811042,0.012605042,,,,,190.2042598,181.2584885,14,14,,,ELA,MET,ELA,49.664,-93.7327,35.78997048,418,43,161.715788,183.0100803,188.0897016
Experimental lake 114,49.4,-93.45,50.53208283,eutrophic,8,375,0.44,2.26,5.2,1983,single,41,128,247,112,0.044642857,6.1,312.43,,,,13.52941176,2.7,,,,158.7192318,0.040584416,,,,,,,10,10,,,ELA,MET,ELA,49.664,-93.7327,35.78997048,418,43,155.865897,190.0714843,190.0714843
Experimental lake 114,49.4,-93.45,50.53208283,eutrophic,8,375,0.44,2.26,5.2,1985,single,37,183,231,42,0.05,6.3,163.79,,,,18.75,1.9,,,,154.4603894,0.011904762,,,,,,,17.5,16.66666667,,,ELA,MET,ELA,49.664,-93.7327,35.78997048,418,43,170.7372177,126.1415698,143.9086073
Experimental lake 114,49.4,-93.45,50.53208283,eutrophic,8,375,0.44,2.26,5.2,1986,single,31,132,195,56,0.076785714,5.5,204.53,,,,11.875,2.1,,,,205.3544814,0.063988095,,,,,,,9,9,,,ELA,MET,ELA,49.664,-93.7327,35.78997048,418,43,190.5514005,92.01552236,126.7078912
