Lake,lat,long
Yxningen,58.27423548,16.21963908
"Yttre Åsunden (pelagialt, djupaste punkten)",57.65965677,13.3045836
Ymsen,58.66694638,13.96804143
YELLOW LAKE - COMPOSITE - (AB05AJ0110),49.73333,-111.5
8 Mellanfjärden,59.278456,15.491181
Yddingen,55.54558022,13.25835768
WYLIE LAKE - COMPOSITE - (AB07MD0110),59.33306,-110.37472
WOOD BUFFALO LAKE - COMPOSITE - (AB07JB0010),56.32083,-113.13444
WOLF LAKE - COMPOSITE - (AB06AB0320),54.7,-110.95
WIZARD LAKE - WEST BASIN COMPOSITE - (AB05DF0740),53.11028,-113.89472
WIZARD LAKE - EAST BASIN COMPOSITE - (AB05DF0760),53.11139,-113.84222
WIZARD LAKE - COMPOSITE - (AB05DF0330),53.11667,-113.85
Winnipeg_MERIS,52.7,-97.15
winnipeg,50.388,-96.81
Wingra,43.053,-89.425
Windermere_south,54.33,-2.94
Windermere_north,54.385072,-2.937148
WINAGAMI LAKE - COMPOSITE - (AB07BF0110),55.61667,-116.73333
WILSON LAKE - COMPOSITE - (AB07GE0220),54.92722,-119.04694
WIDNR_WQX-713243,44.183048,-88.404179
WIDNR_WQX-683256,43.065825,-88.431112
WIDNR_WQX-683170,42.998886,-88.457782
WIDNR_WQX-683142,43.112494,-88.446119
WIDNR_WQX-673208,43.459444,-88.103616
WIDNR_WQX-673206,43.373347,-88.26372
WIDNR_WQX-663103,46.070273,-91.94584
WIDNR_WQX-653217,42.788325,-88.552507
WIDNR_WQX-653122,42.559605,-88.54181
WIDNR_WQX-643451,45.992214,-88.98723
WIDNR_WQX-643088,45.917774,-89.43473
WIDNR_WQX-643058,45.981384,-89.165008
WIDNR_WQX-603312,43.549996,-87.954728
WIDNR_WQX-563056,45.186938,-92.615008
WIDNR_WQX-503140,44.471107,-89.334724
WIDNR_WQX-503139,44.600554,-89.340558
WIDNR_WQX-493122,45.314163,-92.410288
WIDNR_WQX-493104,45.31722,-92.355835
WIDNR_WQX-493064,45.404163,-92.541679
WIDNR_WQX-493063,45.405271,-92.512785
WIDNR_WQX-443386,45.839718,-89.57779
WIDNR_WQX-443253,45.87568,-89.054375
WIDNR_WQX-443078,45.595833,-89.51417
WIDNR_WQX-373416,44.722775,-89.433622
WIDNR_WQX-373390,44.816103,-89.346112
WIDNR_WQX-213131,45.678051,-88.981678
WIDNR_WQX-213124,45.539994,-88.903901
WIDNR_WQX-103132,44.72888,-90.843342
WIDNR_WQX-093123,45.24791,-91.411004
WIDNR_WQX-073086,46.042164,-92.179667
WIDNR_WQX-073082,46.029661,-92.129168
WIDNR_WQX-073079,45.920329,-92.409667
WIDNR_WQX-073041,45.962332,-92.074175
WIDNR_WQX-033140,45.623604,-91.58084
WIDNR_WQX-013038,44.204437,-89.80529
WHITESAND LAKE (E68): RAMP CM3 - COMPOSITE - (AB07PA0070),59.19779,-115.45583
WHITEFISH LAKE - COMPOSITE - (AB06AA0255),54.36667,-111.89167
Ämten,58.12154,15.99629
WHALEBACK LAKE - COMPOSITE - (AB07MD0190),59.70778,-110.355
West Long Lake,46.24,-89.5
WENTZEL LAKE - COMPOSITE - (AB07KA0040),59.01806,-114.46722
WEEKES LAKE (L107): RAMP S1 - COMPOSITE - (AB07MD0170),59.71834,-110.01388
WEED LAKE - COMPOSITE - (AB05CE2230),51.00396,-113.66131
Waynewood,41.395565,-75.362898
WATERLILY LAKE (L61) - COMPOSITE - (AB07DA1920),57.66,-112.55
WARD LAKE - COMPOSITE - (AB07BE0520),54.73333,-112.55
WAPASU LAKE - COMPOSITE - (AB05EE2060),53.35917,-111.61278
WAKOMOA LAKE - COMPOSITE - (AB05EC0890),54.16917,-113.55417
WADLIN LAKE - COMPOSITE - (AB07JD0190),57.73333,-115.58333
WABAMUN LAKE - WEST BASIN COMPOSITE - (AB05DE0620),53.55556,-114.68639
WABAMUN LAKE - MOONLIGHT BAY COMPOSITE - (AB05DE0640),53.56111,-114.44361
WABAMUN LAKE - MAIN BASIN COMPOSITE - (AB05DE0650),53.54027,-114.53139
WABAMUN LAKE - EAST BASIN COMPOSITE - (AB05DE0630),53.54027,-114.53139
Öljaren,59.15881,15.95425
