database,Region,start,end,parameters,Link to data
Open Canada,Canada,1991,2017, Depth and chlorophyll, https://open.canada.ca/data/en/dataset/d155effe-048d-45cf-8683-d827dadc428b
Lake Winnipeg Datastream,Manitoba,2002,2020,"Depth, N, ammonia, P, DIC, DOC, chlorophyll, pH, alkalinity",https://lakewinnipegdatastream.ca/
University of Winnipeg,Manitoba,1996,2009,"Depth, N, ammonia, P, DIC, DOC, chlorophyll, pH, alkalinity",http://lwbin-datahub.ad.umanitoba.ca/dataset/lwpg-namao-chem/resource/931532fe-1785-4a9f-a857-f5d6ddab43e9?view_id=61484de8-2fe6-46df-abd3-37ac9ca9f4f1
IISD-ELA private database,Ontario,1968,2019,"chlorophyll (composite sample from entire epilimnion), DOC, PAR, temperature",https://www.iisd.org/ela/science-data/our-data/data-requests/
Alberta Environment and Parks data repository,Alberta,1978,2018,"Secchi depth, chlorophyll, P, N, TDS, alkalinity misc. ions",http://environment.alberta.ca/apps/EdwReportViewer/LakeWaterQuality.aspx
LUBW data and map service,Germany,1998,2019,chlorophyll,https://udo.lubw.baden-wuerttemberg.de/public/index.xhtml
GEMS,Japan,1977,2018,"Seccchi, OC, N, C/N, Depth, chlorophyll",http://db.cger.nies.go.jp/gem/inter/GEMS/database/kasumi/contents/datalist.html
VISS (request by email),Sweden,1945,2020,chlorophyll,https://viss.lansstyrelsen.se/
UK Environment Agency,UK,2000,2020,"chloprophyll, P, N, water temperature, misc ions",https://environment.data.gov.uk/water-quality/view/download
UK Centre for Ecology and Hydrology,UK,1965,2013,"Water temperature, pH, chlorophyll, P, N, Secchi depth, alkalinity, misc ions",https://catalogue.ceh.ac.uk/documents/f385b60a-2a6b-432e-aadd-a9690415a0ca
Environmental Data Initiative portal,Global,2020,2020,"Water temperature, pH, chlorophyll, P, N, Secchi depth, alkalinity, misc ions",https://portal.edirepository.org/nis/home.jsp
KNB,Colerado,2000,2019,"Depth, water temperature, chlorophyll, pH, DO, conductivity, nitrate, PAR",https://knb.ecoinformatics.org/view/kgordon.35.96
University of Wisconsin NLTER,Wisconsin,1981,2018,"chlorophyll, depth",https://lter.limnology.wisc.edu/node/55078
DataONe,Pennsylvania,1989,2018,"depth, chlorophyll, water temperature, N, P, alkalinity, etc",https://search.dataone.org/view/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fmetadata%2Feml%2Fedi%2F186%2F3
USGS and USEPA water quality,USA,2010,2010,"chlorophyll, water temperature, Secchi delth, pH, TKN, POC, TP","https://www.waterqualitydata.us/#:~:text=The%20Water%20Quality%20Portal%20(WQP,%2C%20tribal%2C%20and%20local%20agencies."
