lake,lat_group,climate_zone
Kyrksjön,50-60,7
Experimental lake 114,40-50,8
Experimental lake 224,40-50,8
Experimental lake 239,40-50,8
Bergundasjön S. ,50-60,7
Bergundasjön N.,50-60,7
Experimental lake 442,40-50,8
Trummen mitt,50-60,7
Växjösjön mitt,50-60,7
Törn,50-60,7
Getasjön,50-60,7
Alderfen broad N.,50-60,10
Alderfen inflow,50-60,10
Alton water,50-60,10
Anglesey outflow,50-60,10
Aqualate mere,50-60,10
Attenborough,50-60,10
Alfhildsgrund W.,50-60,7
Allequash lake,40-50,7
Allgunnen,50-60,7
Baptiste lake N.,50-60,7
Baptiste lake S.,50-60,7
Barton broad E.,50-60,10
Barton broad inflow,50-60,10
Barton broad outflow,50-60,10
Bassenthwaite -england,50-60,10
Betley mere,50-60,10
Betley mere inlet,50-60,10
Betley mere jetty,50-60,10
Bewl bridge,50-60,10
Big lake E.,50-60,7
Blagdon lake,50-60,10
Blea tarn,50-60,10
Belham tarn -england,50-60,10
Bowyers water,50-60,10
Bromlee lough overflow,50-60,7
Brotherswater,50-60,7
Buck lake,50-60,7
Buffalo lake main,50-60,7
burnt fen broad S.,50-60,10
Buttermere,50-60,10
Backcountry lake,,
Bassenthwaite,50-60,10
Belhalm tarn,50-60,10
Big Muskellunge lake,40-50,7
Björkesåkrasjön,50-60,7
Björsund,50-60,7
Blacken lake,50-60,7
Blanksjön,50-60,7
Brunnsjön,60-70,7
Bösjön,60-70,7
Calling lake,50-60,7
cardinal lake,50-60,7
Carr,50-60,10
Carsington water,50-60,10
Castle water,50-60,10
Chapel mere,50-60,10
Chestermere lake,50-60,7
Clear lake- alms,50-60,8
Coal lake,50-60,7
Cockshoot broad,50-60,10
Cole mere,50-60,10
Colliford lake,50-60,10
Comber mere,50-60,10
Coniston water,50-60,10
Coniston water -stillwater,50-60,10
Cotswold lake 12,50-60,10
Cotswold lake 12 outflow,50-60,10
Crag lough,50-60,7
Cromes broad,50-60,10
Cromes broad,50-60,10
Crose mere S.,50-60,10
Central long lake,40-50,7
Clear lake,50-60,7
Constance untersee -rhein river,40-50,7
Crystal lake,40-50,7
Crystal bog,40-50,7
Derwentwater -england,50-60,10
Draycote water,50-60,10
Driedmeat lake -site 2,50-60,7
Derwentwater,50-60,10
Eagle lake,50-60,8
Elterwater -stillwater,50-60,10
Elterwater -inner basin,50-60,10
Elterwater -outer basin,50-60,10
Elterwater -middle basin,50-60,10
Ennerdale water -bowness knott,50-60,10
Esthwaite water -lakes tour,50-60,10
Ethel Lake -cold lake,50-60,7
East long lake,40-50,7
Ekoln Vreta Udd,50-60,7
Ekoln special,50-60,7
Lake erie -cruise,40-50,10
Eriksundsbron,,
Esthwaite water,50-60,10
Figure eight lake,50-60,7
Filby broad,50-60,10
Fonthill lake -outlet,50-60,10
Fordwich lake,50-60,10
Fork lake,50-60,7
Fritton lake -country park,50-60,10
