lake_lat,lake_long,lake
58.667,13.968,Ymsen
59.278,15.491,Mellanfjärden
53.11,-113.895,Wizard lake -west basin
53.111,-113.842,Wizard lake -east basin
53.117,-113.85,Wizard lake
50.388,-96.81,Lake winnipeg
43.053,-89.425,Wingra
54.33,-2.94,Windermere -south basin
54.385,-2.937,Windermere -north basin
55.617,-116.733,Winagami lake
58.122,15.996,Ämten
46.24,-89.5,West long lake
41.396,-75.363,Waynewood lake
53.556,-114.686,Wabamun lake -west basin
53.561,-114.444,Wabamun lake -moonlit bay
53.54,-114.531,Wabamun lake -main basin
53.54,-114.531,Wabamun lake -east basin
59.159,15.954,Öljaren
55.699,13.555,Vombsjön
62.718,17.248,Anderssjön
57.594,16.817,Örö SE.
54.115,-111.349,Vincent lake
60.502,15.716,Vikasjön
62.167,17.373,Armsjön
63.003,17.519,Valasjön
55.884,13.48,Västra Ringsjön
59.593,16.553,Västeråsfjärden N.
59.469,16.698,Björsund
56.212,15.178,Blanksjön
59.935,15.553,Skälsjön W.
62.331,16.991,Rännöbodsjön W.
58.841,13.65,Brommö N
60.563,16.735,Storsjön -gravholmen
49.362,-94.704,USGS-492142094421501
49.338,-94.828,USGS-492016094494201
49.333,-94.862,USGS-491958094514301
49.258,-94.785,USGS-491528094470601
50.617,-115.15,Upper kananaskis lake
59.368,17.055,Ulvhällsfjärden
60.652,13.491,Dyrsjön
49.383,-112.267,Tyrell lake
62.244,15.676,Tväringen
54.536,-110.631,Tucker lake
60.435,15.083,Tryssjön
46.041,-89.686,Trout bog
46.029,-89.665,Trout lake
59.787,17.616,Ekoln special
59.531,18.355,Trehörningen
54.839,-111.38,Touchwood lake
54.15,-114.75,Thunder lake
31.271,120.219,Taihu
57.464,15.06,Tångerdasjön
59.091,13.464,Tärnan SE.
59.557,18.366,Tärnan
57.466,16.033,Tängersjö
52.35,-114.167,Sylvan lake
59.568,17.071,Svinnegarnsviken
56.177,14.937,Svinarydsjön
56.851,13.234,Svartsjön
56.851,13.29,Svartesjön
46.544,-84.749,Lake superior
55.109,-117.529,Sturgeon lake -west arm
55.103,-117.538,Sturgeon lake -main basin
58.884,13.263,Fällbanken NE.
58.918,13.079,Fällbanken NW.
57.497,15.358,Fagerhultasjön
61.643,15.791,Storsjön
56.535,13.994,Farstusjön
59.86,17.86,Funbosjön
62.676,14.517,Stor-Backsjön
56.948,15.271,Storasjö
59.117,17.346,Stora Envättern
59.469,16.088,Galten W.
58.561,15.722,Geten
59.174,18.324,Stensjön
57.558,13.802,Stengårdshultasjön
54.65,-113.767,Steele (cross) lake
57.163,16.347,Grönskogssjön
56.753,13.174,Gyltigesjön
58.114,14.106,St. Lummersjön
59.142,16.136,St. Aspen
57.168,14.509,St Skärsjön
60.647,15.438,Spjutsjön
46.008,-89.701,Sparkling lake
50.646,-100.011,South lake
54.367,-116.933,Smoke lake -composite
59.249,13.766,Härö Nygrund NE.
60.652,11.087,Skreia
56.967,12.737,Härbillingen
54.615,-112.728,Skeleton lake -south basin
54.601,-112.705,Skeleton lake
59.554,17.807,Skarven
58.591,15.513,Skärgölen
53.867,-111.1,Siler (stoney) lake
59.978,17.162,Siggeforasjön
52.469,-110.868,Shorncliffe lake
53.858,-116.037,Shiningbank lake
58.762,15.934,Hagsjön
55.217,-119.088,Saskatoon lake
61.928,14.897,Sangen
53.772,-114.03,Sandy lake -south basin
53.809,-114.049,Sandy lake -north basin
57.507,12.634,Hedgärdessjö
56.865,14.556,Salen
55.891,13.552,Sätoftasjön
56.325,15.358,Sännen
59.282,15.339,Hemfjärden
59.532,17.009,Hjulstabron W.
59.29,17.52,Björkfjärden SE.
60.009,15.651,Barken S.
58.809,17.369,Rundbosjön
57.478,15.856,Hulingen
58.514,15.64,Roxen -centrala delen
60.076,17.438,Ramsjön
58,16.55,Rammsjön
56.089,14.223,"Råbelövssjön, södra delen"
57.803,14.265,Huskvarna
53.92,-106.105,Prospect Point
53.92,-106.105,Prospect Point
54.788,-110.031,Primrose lake -south basin
54.901,-109.634,Primrose lake -north basin
59.427,17.427,Prästfjärden
52.068,-113.41,Pine lake -south
52.068,-113.41,Pine lake -north
52.068,-113.41,Pine lake -middle
52.103,-113.454,Pine lake
53,-114.017,Pigeon lake
54.509,-109.722,Pierce lake
46.25,-89.5,Peter Lake
46.25,-89.5,Paul Lake
49.375,-111.063,Pakowki lake W.
49.346,-110.928,Pakowki lake -central
56.375,13.997,Osbysjön -norra osbysjön
55.389,-113.488,Orloff lake
56.161,14.279,Oppmannasjön -arkelstorpsviken
56.083,14.346,Oppmannasjön
43.314,-79.751,Lake ontario
43.205,-75.923,Oneida lake
50.617,-99.924,Octopus lake
54.684,-112.566,North buck lake
59.81,15.119,Norrsjön
59.333,13.874,NorraVänern -Lunnerviken
59.335,13.99,NorraVänern -ölmeviken
57.131,14.697,Klintsjön
57.432,13.698,Klosjön
62.595,16.706,Navarn lake
53.883,-114.2,Nakamun lake
56.793,13.408,Knutsnabben
59.17,17.409,Yngern N.
61.588,12.743,Särnamannasjön N.
57.213,12.628,Barken N.
