lake,year,season,start_day,end_day,gw_length,chla_rate,max_chla,acc_chla,poc_rate,chla_to_poc,gw_temp,gw_tp,gw_secchi,gw_ph,gw_srp,gw_tkn,specific_chla_rate,f_temp,temp_corrected_specific_chla_rate,pre_gw_temp,num_samples,pre_gw_tp,pre_gw_tkn,thresh_val,lat_group,climate_zone,tsi,trophic_status,lake_lat,lake_long,days_sampled,first_day,last_day,sampling_frequency,mean_time_between_samples
Alfhildsgrund W.,1974,single,115,198,53,0.058754717,3.888,85.7745,,,,,,,,,0.075910487,,,,7,,,0.4,50-60,7,34.44695258,oligotrophic,58.735,12.55,172,115,287,0.040697674,24.57142857
Blanksjön,2008,single,70,134,37,0.094594595,4,73.38333333,,,,,,,,,0.189189189,,,,8,,,0.4,50-60,7,39.32073899,oligotrophic,56.212,15.178,238,70,308,0.033613445,29.75
Brotherswater,2005,single,25,130,86,0.043488372,5.44,260.2133333,,,,0.034666667,0.0675,,,,0.025581395,,,,14,0.032,,0.4,50-60,7,37.98119325,oligotrophic,54.505,-2.924,314,25,339,0.044585987,22.42857143
Brotherswater,2006,single,3,303,275,0.009418182,6.87,922.7883333,,,,0.0242,0.06565,,,,0.008802039,,,,13,0.006,,0.4,50-60,7,37.98119325,oligotrophic,54.505,-2.924,349,3,352,0.037249284,26.84615385
Brotherswater,2011,single,25,203,148,0.013513514,3.5,332.3,,,,0.00519,,,,,0.022522523,,,,12,0.0039,,0.4,50-60,7,37.98119325,oligotrophic,54.505,-2.924,324,25,349,0.037037037,27
Brotherswater,2012,single,19,221,182,0.004945055,4.1,443.1883333,,,,0.007862857,,,,,0.00989011,,,,12,0.00504,,0.4,50-60,7,37.98119325,oligotrophic,54.505,-2.924,327,19,346,0.036697248,27.25
Brotherswater,2013,single,15,105,58,0.062068966,4.1,90.6,,,,0.0045,,,,,0.124137931,,,,12,0.0042,,0.4,50-60,7,37.98119325,oligotrophic,54.505,-2.924,323,15,338,0.037151703,26.91666667
Brotherswater,2014,single,97,218,98,0.015306122,3.9,245.0033333,,,,0.0052,,,,,0.008055854,,,,12,0.0069,,0.4,50-60,7,37.98119325,oligotrophic,54.505,-2.924,333,10,343,0.036036036,27.75
Brotherswater,2016,single,63,186,95,0.026421053,3.3,204.595,,,,0.0068675,,,,,0.03344437,,,,12,0.00667,,0.4,50-60,7,37.98119325,oligotrophic,54.505,-2.924,329,11,340,0.036474164,27.41666667
Buttermere,2005,single,13,152,82,0.04902439,5.18,209.1833333,,,6.2,0.02475,,,,,0.042262405,0.184949751,0.228507501,6.5,12,0.031,,0.4,50-60,10,37.93594732,oligotrophic,54.536,-3.28,336,13,349,0.035714286,28
Buttermere,2007,single,171,222,36,0.052777778,2.5,81.84,,,15.95,0.00355,,,,,0.087962963,0.742184094,0.118519062,16.6,12,0.003,,0.4,50-60,10,37.93594732,oligotrophic,54.536,-3.28,323,24,347,0.037151703,26.91666667
Buttermere,2015,single,22,225,168,0.007261905,2.8,290.5133333,,,,0.006394286,,,,,0.010679272,,,,11,0.0062,,0.4,50-60,10,37.93594732,oligotrophic,54.536,-3.28,295,22,317,0.037288136,26.81818182
Buttermere,2018,single,82,267,161,0.011801242,5.4,382.2,,,,0.004866667,,,,,0.006556246,,,,12,0.0037,,0.4,50-60,10,37.93594732,oligotrophic,54.536,-3.28,321,23,344,0.037383178,26.75
Bösjön,1998,single,63,166,91,0.041758242,4.2,178.9666667,,,,,,,,,0.104395604,,,,7,,,0.4,60-70,7,34.72282215,oligotrophic,61.324,14.292,217,63,280,0.032258065,31
