lake,start_sampling,end_sampling,days_sampled,years_sampled,tsi,trophic_status,lake_lat,lake_long,Country,database_s,variables,ssr_statio,lake_area,lake_vol,lake_depth,ssr_id,ssr_source,ssr_lat,ssr_long,ssr_lake_d,ssr_start,ssr_end,ssr_years_,ssr_origin,climate_zone
Alderfen broad N.,2000,2019,208,20,60.35139228,eutrophic,52.724,1.486,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",London Weather C.,,,,1299,GEBA,51.51666667,-0.116666667,173.4469664,1958,2006,49,month,10
Alderfen inflow,2004,2019,178,16,53.49741509,eutrophic,52.726,1.481,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",London Weather C.,,,,1299,GEBA,51.51666667,-0.116666667,173.4242541,1958,2006,49,month,10
Alfhildsgrund W.,1974,1978,13,5,34.44695258,oligotrophic,58.735,12.55,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Karlstad,5486.23,153000,27.9,2101,GEBA,59.36666667,13.46666667,87.84472264,1983,2017,35,month,7
Allequash lake,1981,2018,641,38,49.56095182,mesotrophic,46.038,-89.701,United States of America,North Temperate Lakes LTER,"chla', 'Depth'",Madison,,,,480,GEBA,43.13333333,-89.33333333,324.0940343,1950,2006,48,month,7
Allgunnen,1995,2008,56,14,47.03593176,mesotrophic,57.223,14.615,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Vaexjoe / Kronoberg,13.65,121.8,8.9,2106,GEBA,56.93333333,14.73333333,32.99882758,1983,2017,35,month,7
Alton water,2003,2006,40,4,54.37015394,eutrophic,51.995,1.111,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",London Weather C.,1.23,9.1,7.4,1299,GEBA,51.51666667,-0.116666667,100.118718,1958,2006,49,month,10
Anglesey outflow,2004,2019,98,16,54.67658132,eutrophic,52.663,-1.941,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",London Weather C.,,,,1299,GEBA,51.51666667,-0.116666667,178.6122211,1958,2006,49,month,10
Aqualate mere,2004,2019,179,16,63.60603473,eutrophic,52.778,-2.333,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",Aberporth,0.5,1.74,3.5,1293,GEBA,52.13333333,-4.566666667,167.906684,1957,2017,61,month,10
Attenborough,2007,2019,115,13,68.84200876,eutrophic,52.896,-1.24,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",London Weather C.,0.43,0.7,1.6,1299,GEBA,51.51666667,-0.116666667,171.5895941,1958,2006,49,month,10
Baptiste lake N.,1983,2017,135,35,65.0169751,eutrophic,54.783,-113.55,Canada,Alberta Environment and Parks data repository,"lat', 'long', 'chla', 'secchi', 'TP', 'DOC', 'pH', 'TKN', 'NO2', 'NO3', 'NH4'",Oliver AGDM,9.44,90.38,9.6,3014921,Climate ID,53.6466,-113.3546,127.1686413,2005,2020,16,day,7
