,date,year,month,day,day_of_year,num_samples,depth,chla,secchi,tp,doc,ph,tkn,no2,no3,nh4,dic,temp,par,poc,srp,tdn,tn,lake
47511,1964-01-07,1964,1,7,7,51,,1.19,,,,,,,360.0,3.0,,5.0,,,,,,Windermere -south basin
45651,1964-01-07,1964,1,7,7,51,,0.29,,,,,,,320.0,3.0,,5.5,,,,,,Windermere -north basin
15910,1964-01-14,1964,1,14,14,46,,2.96,,,,,,,400.0,80.0,,3.7,,,,,,Esthwaite water
6675,1964-01-14,1964,1,14,14,46,,0.9,,,,,,,550.0,57.0,,3.6,,,,,,Belhalm tarn
45652,1964-01-14,1964,1,14,14,51,,0.48,,,,,,,400.0,1.0,,5.25,,,,,,Windermere -north basin
47512,1964-01-14,1964,1,14,14,51,,0.98,,,,,,,370.0,3.0,,4.85,,,,,,Windermere -south basin
45653,1964-01-21,1964,1,21,21,51,,0.43,,,,,,,340.0,,,4.95,,,,,,Windermere -north basin
47513,1964-01-21,1964,1,21,21,51,,1.08,,,,,,,380.0,,,4.5,,,,,,Windermere -south basin
45654,1964-01-28,1964,1,28,28,51,,0.36,,,,,,,370.0,,,4.9,,,,,,Windermere -north basin
15911,1964-01-28,1964,1,28,28,46,,2.24,,,,,,,400.0,,,3.5,,,,,,Esthwaite water
6676,1964-01-28,1964,1,28,28,46,,0.8,,,,,,,480.0,,,3.9,,,,,,Belhalm tarn
47514,1964-01-28,1964,1,28,28,51,,1.15,,,,,,,360.0,,,4.3,,,,,,Windermere -south basin
47515,1964-02-04,1964,2,4,35,51,,1.03,,,,,,,390.0,,,5.0,,,,,,Windermere -south basin
45655,1964-02-04,1964,2,4,35,51,,0.41,,,,,,,390.0,,,5.05,,,,,,Windermere -north basin
6677,1964-02-04,1964,2,4,35,46,,1.0,,,,,,,580.0,64.0,,5.2,,,,,,Belhalm tarn
15912,1964-02-04,1964,2,4,35,46,,2.88,,,,,,,450.0,75.0,,4.6,,,,,,Esthwaite water
15913,1964-02-11,1964,2,11,42,46,,3.99,,,,,,,470.0,66.0,,4.2,,,,,,Esthwaite water
47516,1964-02-11,1964,2,11,42,51,,1.31,,,,,,,410.0,,,4.95,,,,,,Windermere -south basin
45656,1964-02-11,1964,2,11,42,51,,0.36,,,,,,,350.0,,,5.05,,,,,,Windermere -north basin
6678,1964-02-11,1964,2,11,42,46,,1.8,,,,,,,600.0,47.0,,4.4,,,,,,Belhalm tarn
47517,1964-02-18,1964,2,18,49,51,,1.31,,,,,,,280.0,1.0,,4.4,,,,,,Windermere -south basin
45657,1964-02-18,1964,2,18,49,51,,0.38,,,,,,,370.0,1.0,,4.75,,,,,,Windermere -north basin
6679,1964-02-18,1964,2,18,49,46,,2.9,,,,,,,530.0,37.0,,3.7,,,,,,Belhalm tarn
45658,1964-02-25,1964,2,25,56,51,,0.73,,,,,,,420.0,,,4.55,,,,,,Windermere -north basin
6680,1964-02-25,1964,2,25,56,46,,6.2,,,,,,,590.0,30.0,,3.4,,,,,,Belhalm tarn
