lake,tsi,trophic_status
Experimental lake 224,34.3578906,oligotrophic
Experimental lake 442,39.24780878,oligotrophic
Alfhildsgrund W.,34.44695258,oligotrophic
Brotherswater,37.98119325,oligotrophic
Buttermere,37.93594732,oligotrophic
Blanksjön,39.32073899,oligotrophic
Bösjön,34.72282215,oligotrophic
Crystal lake,37.65703383,oligotrophic
Ennerdale water -bowness knott,35.41165799,oligotrophic
Giles lake,33.9405354,oligotrophic
Lake huron,31.04467596,oligotrophic
Källsjön,38.71517462,oligotrophic
Kånkåstjärnen,36.53680018,oligotrophic
Lien,38.19314742,oligotrophic
Lindöviken W.,34.94049942,oligotrophic
Lake ontario,39.2304471,oligotrophic
Red tarn -stillwater,38.94860804,oligotrophic
Tryssjön,34.88574797,oligotrophic
Wastwater -stillwater,33.80081571,oligotrophic
Övre Skärsjön,38.90738096,oligotrophic
Experimental lake 239,40.35195524,mesotrophic
Törn,49.92021274,mesotrophic
Allequash lake,49.56095182,mesotrophic
Allgunnen,47.03593176,mesotrophic
Bassenthwaite -england,49.63385666,mesotrophic
Blea tarn,41.08390313,mesotrophic
Bromlee lough overflow,47.38788208,mesotrophic
Big Muskellunge lake,40.24658203,mesotrophic
Brunnsjön,46.35779966,mesotrophic
Carsington water,43.97901364,mesotrophic
Clear lake,49.90347597,mesotrophic
Coniston water,42.81869017,mesotrophic
Coniston water -stillwater,44.67711745,mesotrophic
Cotswold lake 12,47.70865157,mesotrophic
Cotswold lake 12 outflow,47.13425307,mesotrophic
Constance untersee -rhein river,42.21644755,mesotrophic
Derwentwater -england,43.96636183,mesotrophic
Derwentwater,46.86655714,mesotrophic
Elterwater -stillwater,41.54932315,mesotrophic
Elterwater -outer basin,42.94738519,mesotrophic
Lake erie -cruise,41.23244325,mesotrophic
Fiolen,47.12515984,mesotrophic
Grasmere -england,47.52268382,mesotrophic
Green valley lake,44.50773331,mesotrophic
Grönskogssjön,48.35785143,mesotrophic
Gyltigesjön,42.62541328,mesotrophic
Haunted lake,49.35680434,mesotrophic
Hawes water -stillwater,47.5091983,mesotrophic
Hagsjön,44.21244709,mesotrophic
Hulingen,48.73334171,mesotrophic
Kolsundet SE.,46.46999718,mesotrophic
Lacawac,45.12764593,mesotrophic
Lambarfjärden,49.99061433,mesotrophic
Levrasjön,45.16237035,mesotrophic
Lillasjön,44.28309224,mesotrophic
Långsjön,47.23081214,mesotrophic
Malham tarn,47.90450078,mesotrophic
Melbourne lake,47.71262063,mesotrophic
Mariestadsviken  -site 2,44.45838401,mesotrophic
Mossjön,47.89570666,mesotrophic
Mälaren -erikssund,46.00406881,mesotrophic
Oneida lake,48.77346452,mesotrophic
Paul Lake,44.30111755,mesotrophic
Prästfjärden,47.25728287,mesotrophic
Rothay,45.59191528,mesotrophic
Björkfjärden SE.,46.25162536,mesotrophic
Semer water,49.17161537,mesotrophic
