,lake,tsi,trophic_status,lake_lat,lake_long
0,Experimental lake 224,34.3578906,oligotrophic,49.41,-93.43
1,Experimental lake 442,39.24780878,oligotrophic,49.46,-93.49
2,Alfhildsgrund W.,34.44695258,oligotrophic,58.735,12.55
3,Brotherswater,37.98119325,oligotrophic,54.505,-2.924
4,Buttermere,37.93594732,oligotrophic,54.536,-3.28
5,Blanksjön,39.32073899,oligotrophic,56.212,15.178
6,Bösjön,34.72282215,oligotrophic,61.324,14.292
7,Crystal lake,37.65703383,oligotrophic,46.003,-89.612
8,Ennerdale water -bowness knott,35.41165799,oligotrophic,54.52,-3.373
9,Giles lake,33.9405354,oligotrophic,41.376,-75.093
10,Lake huron,31.04467596,oligotrophic,43.09,-82.392
11,Källsjön,38.71517462,oligotrophic,61.634,16.736
12,Kånkåstjärnen,36.53680018,oligotrophic,62.608,16.896
13,Lien,38.19314742,oligotrophic,59.811,15.521
14,Lindöviken W.,34.94049942,oligotrophic,60.022,23.194
15,Lake ontario,39.2304471,oligotrophic,43.314,-79.751
16,Red tarn -stillwater,38.94860804,oligotrophic,54.53,-3.006
17,Tryssjön,34.88574797,oligotrophic,60.435,15.083
18,Wastwater -stillwater,33.80081571,oligotrophic,54.427,-3.319
19,Övre Skärsjön,38.90738096,oligotrophic,59.837,15.55
20,Experimental lake 239,40.35195524,mesotrophic,49.41,-93.44
21,Törn,49.92021274,mesotrophic,56.564,15.539
22,Allequash lake,49.56095182,mesotrophic,46.038,-89.701
23,Allgunnen,47.03593176,mesotrophic,57.223,14.615
24,Bassenthwaite -england,49.63385666,mesotrophic,54.655,-3.221
25,Blea tarn,41.08390313,mesotrophic,54.429,-3.092
26,Bromlee lough overflow,47.38788208,mesotrophic,55.021,-2.334
27,Big Muskellunge lake,40.24658203,mesotrophic,46.021,-89.612
28,Brunnsjön,46.35779966,mesotrophic,60.272,15.97
29,Carsington water,43.97901364,mesotrophic,53.048,-1.635
30,Clear lake- alms,49.90347597,mesotrophic,50.15,-113.417
31,Clear lake,49.90347597,mesotrophic,50.679,-100.007
32,Coniston water,42.81869017,mesotrophic,54.353,-3.066
33,Coniston water -stillwater,44.67711745,mesotrophic,54.3,-3.093
34,Cotswold lake 12,47.70865157,mesotrophic,51.67,-1.909
35,Cotswold lake 12 outflow,47.13425307,mesotrophic,51.668,-1.907
36,Constance untersee -rhein river,42.21644755,mesotrophic,47.652,8.895
37,Derwentwater -england,43.96636183,mesotrophic,54.579,-3.146
38,Derwentwater,46.86655714,mesotrophic,54.575,-3.146
39,Elterwater -stillwater,41.54932315,mesotrophic,54.427,-3.023
40,Elterwater -outer basin,42.94738519,mesotrophic,54.428,-3.025
41,Lake erie -cruise,41.23244325,mesotrophic,42.791,-79.208
42,Fiolen,47.12515984,mesotrophic,57.092,14.53
43,Grasmere -england,47.52268382,mesotrophic,54.45,-3.026
44,Green valley lake,44.50773331,mesotrophic,40.056,-105.617
45,Grönskogssjön,48.35785143,mesotrophic,57.163,16.347
46,Gyltigesjön,42.62541328,mesotrophic,56.753,13.174
47,Haunted lake,49.35680434,mesotrophic,52.404,-113.159
48,Hawes water -stillwater,47.5091983,mesotrophic,54.181,-2.801
49,Hagsjön,44.21244709,mesotrophic,58.762,15.934
50,Hulingen,48.73334171,mesotrophic,57.478,15.856
51,Kolsundet SE.,46.46999718,mesotrophic,59.355,17.295
