lake,lake_lat,lake_long
Yxningen,58.274,16.220
"Yttre Åsunden (pelagialt, djupaste punkten)",57.660,13.305
Ymsen,58.667,13.968
YELLOW LAKE - COMPOSITE - (AB05AJ0110),49.733,-111.500
8 Mellanfjärden,59.278,15.491
Yddingen,55.546,13.258
WYLIE LAKE - COMPOSITE - (AB07MD0110),59.333,-110.375
WOOD BUFFALO LAKE - COMPOSITE - (AB07JB0010),56.321,-113.134
WOLF LAKE - COMPOSITE - (AB06AB0320),54.700,-110.950
WIZARD LAKE - WEST BASIN COMPOSITE - (AB05DF0740),53.110,-113.895
WIZARD LAKE - EAST BASIN COMPOSITE - (AB05DF0760),53.111,-113.842
WIZARD LAKE - COMPOSITE - (AB05DF0330),53.117,-113.850
Winnipeg_MERIS,52.700,-97.150
winnipeg,50.388,-96.810
Wingra,43.053,-89.425
Windermere_south,54.330,-2.940
Windermere_north,54.385,-2.937
WINAGAMI LAKE - COMPOSITE - (AB07BF0110),55.617,-116.733
WILSON LAKE - COMPOSITE - (AB07GE0220),54.927,-119.047
WIDNR_WQX-713243,44.183,-88.404
WIDNR_WQX-683256,43.066,-88.431
WIDNR_WQX-683170,42.999,-88.458
WIDNR_WQX-683142,43.112,-88.446
WIDNR_WQX-673208,43.459,-88.104
WIDNR_WQX-673206,43.373,-88.264
WIDNR_WQX-663103,46.070,-91.946
WIDNR_WQX-653217,42.788,-88.553
WIDNR_WQX-653122,42.560,-88.542
WIDNR_WQX-643451,45.992,-88.987
WIDNR_WQX-643088,45.918,-89.435
WIDNR_WQX-643058,45.981,-89.165
WIDNR_WQX-603312,43.550,-87.955
WIDNR_WQX-563056,45.187,-92.615
WIDNR_WQX-503140,44.471,-89.335
WIDNR_WQX-503139,44.601,-89.341
WIDNR_WQX-493122,45.314,-92.410
WIDNR_WQX-493104,45.317,-92.356
WIDNR_WQX-493064,45.404,-92.542
WIDNR_WQX-493063,45.405,-92.513
WIDNR_WQX-443386,45.840,-89.578
WIDNR_WQX-443253,45.876,-89.054
WIDNR_WQX-443078,45.596,-89.514
WIDNR_WQX-373416,44.723,-89.434
WIDNR_WQX-373390,44.816,-89.346
WIDNR_WQX-213131,45.678,-88.982
WIDNR_WQX-213124,45.540,-88.904
WIDNR_WQX-103132,44.729,-90.843
WIDNR_WQX-093123,45.248,-91.411
WIDNR_WQX-073086,46.042,-92.180
WIDNR_WQX-073082,46.030,-92.129
WIDNR_WQX-073079,45.920,-92.410
WIDNR_WQX-073041,45.962,-92.074
WIDNR_WQX-033140,45.624,-91.581
WIDNR_WQX-013038,44.204,-89.805
WHITESAND LAKE (E68): RAMP CM3 - COMPOSITE - (AB07PA0070),59.198,-115.456
WHITEFISH LAKE - COMPOSITE - (AB06AA0255),54.367,-111.892
Ämten,58.122,15.996
WHALEBACK LAKE - COMPOSITE - (AB07MD0190),59.708,-110.355
West Long Lake,46.240,-89.500
WENTZEL LAKE - COMPOSITE - (AB07KA0040),59.018,-114.467
WEEKES LAKE (L107): RAMP S1 - COMPOSITE - (AB07MD0170),59.718,-110.014
WEED LAKE - COMPOSITE - (AB05CE2230),51.004,-113.661
Waynewood,41.396,-75.363
WATERLILY LAKE (L61) - COMPOSITE - (AB07DA1920),57.660,-112.550
WARD LAKE - COMPOSITE - (AB07BE0520),54.733,-112.550
WAPASU LAKE - COMPOSITE - (AB05EE2060),53.359,-111.613
WAKOMOA LAKE - COMPOSITE - (AB05EC0890),54.169,-113.554
