Lake,Lake_formatted
10 Kyrksjön,Kyrksjön
11 Hemfjärden,Hemfjärden
11 Västersjön,Västersjön
114_ELA,Experimental lake 114
224_ELA,Experimental lake 224
239_ELA,Experimental lake 239
313 S Bergundasjön,Bergundasjön S. 
316 N Bergundasjön,Bergundasjön N.
373_ELA,Experimental lake 373
442_ELA,Experimental lake 442
468 Trummen mitt,Trummen mitt
469 Växjösjön mitt,Växjösjön mitt
57 Törn,Törn
7 Getasjön,Getasjön
8 Mellanfjärden,Mellanfjärden
ADAMSON LAKE - COMPOSITE - (AB05EB5210),Adamson lake
ALDERFEN BROAD NORTH EXCLOSURE,Alderfen broad N.
ALDERFEN INFLOW,Alderfen inflow
ALTON WATER LEMON HILL BRIDGE,Alton water
ANGLESEY OUTLET FROM CHASEWATER,Anglesey outflow
ANTLER LAKE - COMPOSITE - (AB05EB0980),Antler lake
AQUALATE MERE ENGLISH NATURE SAMPLING PT,Aqualate mere
ATTENBOROUGH SAILING CLUB WFD POINT,Attenborough
Allequash,Allequash lake
Allgjuttern,Allgjuttern
Allgunnen,Allgunnen
Anderssjön,Anderssjön
Armsjön,Armsjön
BAPTISTE LAKE - NORTH BASIN COMPOSITE - (AB07BE0830),Baptiste lake N.
BAPTISTE LAKE - SOUTH BASIN COMPOSITE - (AB07BE0820),Baptiste lake S.
BAR MERE,Bar mere
BARTON BROAD (R.ANT),Barton broad E.
BARTON BROAD INFLOW,Barton broad inflow
BARTON BROAD OUTFLOW,Barton broad outflow
BASSENTHWAITE,Bassenthwaite -england
BATHING WATER - THE SERPENTINE (11940),Bathing water
BATTLE LAKE - COMPOSITE - (AB05FA0460),Battle lake
BEARTRAP LAKE - COMPOSITE - (AB06AC1255),Beartrap lake
BEAUVAIS LAKE - COMPOSITE - (AB05AA0490),Beauvais lake
BEAVER LAKE - COMPOSITE - (AB06AA0230),Beaver lake
BETLEY MERE,Betley mere
BETLEY MERE ADJACENT  MERE GUTTER INLET,Betley mere inlet
BETLEY MERE FROM JETTY,Betley mere jetty
BEWL BRIDGE RAW WATER,Bewl bridge
BEWL WATER,Bewl water
BIG LAKE (NEAR ST ALBERT) - EAST COMPOSITE - (AB05EA1550),Big lake E.
BLACKMUD LAKE - COMPOSITE - (AB07AF1180),Blackmud lake
BLAGDON LAKE,Blagdon lake
BLEA TARN (WFD STILLWATER SITE),Blea tarn
BLEA WATER,Blea water
BLELHAM TARN,Belham tarn -england
BONNIE LAKE - COMPOSITE - (AB05ED0200),Bonnie lake
BOWYERS WATER :WALTHAM CROSS,Bowyers water
BROGBOROUGH LAKE EAST BANK NR ROAD,Brogborough lake E.
BROOMLEE LOUGH AT OVERFLOW,Bromlee lough overflow
BROTHERSWATER,Brotherswater
BUCK LAKE - COMPOSITE - (AB05DE0560),Buck lake
BUFFALO LAKE (NEAR BASHAW) - MAIN BASIN COMPOSITE - (AB05CD1040),Buffalo lake main
BUFFALO LAKE (NEAR BASHAW) - SECONDARY BAY COMPOSITE - (AB05CD0860),Buffalo lake secondary bay
BURNT FEN BROAD SOUTH END,burnt fen broad S.
BURNTSTICK LAKE - COMPOSITE - (AB05CA0100),Burntstick lake
BUTTERMERE (WFD STILLWATER SITE),Buttermere
Backcountry,Backcountry lake
Bassenthwaite,Bassenthwaite
Belhalm_tarn,Belhalm tarn
Big Muskellunge,Big Muskellunge lake
Björken,Björken
Björkesåkrasjön,Björkesåkrasjön
Björsund,Björsund
Blacken,Blacken lake
Blanksjön,Blanksjön
Bleklången,Bleklången
Brommö N,Brommö N
Brunnsjön,Brunnsjön
Bäen,Bäen
Bästeträsk,Bästeträsk
Börringesjön,Börringesjön
Bösjön,Bösjön
CALLING LAKE - COMPOSITE - (AB07CB0780),Calling lake
CARDINAL LAKE - COMPOSITE - (AB07FD0210),cardinal lake
CARR BK - STAUNTON HAROLD SAILING CLUB,Carr
CARSINGTON WATER LAKE SAMPLE,Carsington water
CARSINGTON WATER NRMP,Carsington water ramp
CASTLE WATER,Castle water
CHAPEL MERE,Chapel mere
CHESTERMERE LAKE - COMPOSITE - (AB05BM0840),Chestermere lake
CLAIRMONT LAKE - COMPOSITE - (AB07GE1040),Clairmont lake
CLEAR LAKE (BARNS LAKE) - COMPOSITE - (AB05FD0050),Clear lake -barns lake
CLEAR LAKE - COMPOSITE - (AB05AC0380),Clear lake
COAL LAKE - COMPOSITE - (AB05FA0400),Coal lake
COCKSHOOT BROAD,Cockshoot broad
COLD LAKE - WEST SIDE EUPHOTIC COMP - (AB06AF0120),Cold lake
COLE MERE - LITTLE MILL COTTAGE,Cole mere
COLLIFORD LAKE DAM SURFACE,Colliford lake
COMBER MERE ON A525 TO WHITCHURCH,Comber mere
CONISTON,Coniston water
CONSITON WATER (WFD STILLWATER SITE),Coniston water -stillwater
COP MERE LAKE WFD,Cop mere
COTSWOLD WATER PARK LAKE 12,Cotswold lake 12
COTSWOLD WATER PARK LAKE 12 OUTFLOW,Cotswold lake 12 outflow
COW LAKE - COMPOSITE - (AB05DC0090),Cow lake
CRABMILL FLASH,Crabmill flash
CRAG LOUGH AT OVERFLOW,Crag lough
CRIMSON LAKE - COMPOSITE - (AB05DC0130),Crimson lake
CROMES BROAD EDGE,Cromes broad -edge
CROSE MERE SOUTH SHORE,Crose mere S.
CRUMMOCK WATER - LAKES TOUR,Crummock water
Central Long Lake,Central long lake
Clear Lake,Clear lake
Constance untersee/Rhein river,Constance untersee -rhein river
Crampton Lake,Crampton Lake
Crystal,Crystal lake
Crystal bog,Crystal bog
DECOY BROAD R.BURE,Decoy broad
DERWENTWATER,Derwentwater -england
DILLBERRY LAKE - COMPOSITE - (AB05GA0160),Dillberry lake
Dagarn,Dagarn lake
Dagskärsgrund N,Dagskärsgrund N.
Dagstorpssjön,Dagstorpssjön
Derwentwater,Derwentwater
Dyrsjön,Dyrsjön
EAGLE LAKE - COMPOSITE - (AB05BM0760),Eagle lake
ELKWATER LAKE - COMPOSITE - (AB05AH0060),Elkwater lake
ELTER WATER (WFD STILLWATER SITE),Elterwater -stillwater
ELTERWATER  (INNER BASIN),Elterwater -inner basin
ELTERWATER  (OUTER BASIN),Elterwater -outer basin
ELTERWATER (MIDDLE BASIN),Elterwater -middle basin
ENCLOSED WATER / LAKE N.C.R.S (W),Enclosed water
ENNERDALE - LAKES TOUR,Ennerdale water -lakes tour
ENNERDALE AS PART OF A WQ SURVEY,Ennerdale water -wq survey
ENNERDALE WATER (WFD STILLWATER SITE),Ennerdale water -stillwater
ENNERDALE WATER NEAR BOWNESS KNOTT,Ennerdale water -bowness knott
ESTHWAITE WATER - LAKES TOUR,Esthwaite water -lakes tour
ETHEL LAKE (NEAR COLD LAKE) - COMPOSITE - (AB06AC0620),Ethel Lake -cold lake
East Long Lake,East long lake
Edasjön,Edasjön
Edeskvarnaån NV,Edeskvarnaån NW.
Ekholmssjön,Ekholmssjön
Ekoln Vreta Udd,Ekoln Vreta Udd
Ekoln special,Ekoln special
Ellestadssjön,Ellestadssjön
Erie_cruise,Lake erie -cruise
Eriksundsbron,Eriksundsbron
Esthwaite,Esthwaite water
FIELD LAKE - SITE #1 - NORTH END VERTICAL COMPOSITE AT ONE SITE - (AB06AA0190),Field lake N.
FIELD LAKE - SITE #2 - CENTRE VERTICAL COMPOSITE AT ONE SITE - (AB06AA0200),Field lake -centre
FIELD LAKE - SITE #3 - SOUTH END VERTICAL COMPOSITE AT ONE SITE - (AB06AA0210),Field lake S.
FIELD LAKE - WHOLE LAKE COMPOSITE - (AB06AA0220),Field lake -whole lake
FIGURE EIGHT LAKE - COMPOSITE - (AB07HA0300),Figure eight lake
FILBY BROAD,Filby broad
FLOATINGSTONE LAKE - COMPOSITE - (AB06AA0310),Floatingstone lake
FONTHILL LAKE OUTLET,Fonthill lake -outlet
FORDWICH LAKE,Fordwich lake
FORK LAKE - COMPOSITE - (AB06AA1050),Fork lake
FRITTON LAKE AT COUNTRY PARK EDGE SAMPLE,Fritton lake -country park
FRITTON LAKES LOUND MILL WATER,Fritton lakes -lound mill
Fagerhultasjön,Fagerhultasjön
Fagertärn,Fagertärn
Farstusjön,Farstusjön
Fiolen,Fiolen
Fish,Fish lake
Fjällfotasjön,Fjällfotasjön
Fjärasjö,Fjärasjö
Fulleröfjärden S,Fulleröfjärden S
Funbosjön,Funbosjön
Furnesfjorden,Furnesfjorden
Fysingen,Fysingen
Fällbanken NO,Fällbanken NE.
Fällbanken NV,Fällbanken NW.
Försjön,Försjön
GARNIER LAKE (NORTH) - COMPOSITE - (AB06AC1190),Garnier lake N.
GEORGE LAKE - COMPOSITE - (AB07FD1410),George lake
GOODFISH LAKE - COMPOSITE - (AB06AA0322),Goodfish lake
GOOSE LAKE - COMPOSITE - (AB07AH0490),Goose lake
GRASMERE,Grasmere -england
GRASMERE WFD STILLWATER MONITORING POINT,Grasmere -stillwater
GREAT LAKE AT CLUMBER WFD POINT,Great lake
